name, score
Rajesh Chauhan  (India),132
Piyush Chawla  (India),38
Manoj Cheruparambil  (Hong Kong),30
Justice Chibhabha  (Zimbabwe),2389
Elton Chigumbura  (Zimbabwe / ACA Africa XI),4340
Michael Chinouya  (Zimbabwe),6
Chirag Suri  (United Arab Emirates),196
Tendai Chisoro  (Zimbabwe),134
Nikhil Chopra  (India),310
Daniel Christian  (Australia),273
Kyle Christie  (Hong Kong),0
Dipak Chudasama  (Kenya),434
Desmond Chumney  (Canada),397
Stuart Clark  (Australia),69
Wayne Clark  (Australia),0
Michael Clarke  (Australia),7981
Nolan Clarke  (Netherlands),50
Rikki Clarke  (England),144
Sylvester Clarke  (West Indies),60
Brian Close  (England),49
Austin Codrington  (Canada),47
George Codrington  (Canada),236
Kyle Coetzer  (Scotland),2082
Freddie Coleman  (Scotland),211
David Colley  (Australia),0
Richard Collinge  (New Zealand),34
Paul Collingwood  (England),5092
Pedro Collins  (West Indies),30
Corey Collymore  (West Indies),104
Peter Coman  (New Zealand),62
Jeremy Coney  (New Zealand),1874
Bevan Congdon  (New Zealand),338
Peter Connell  (Ireland),40
Alan Connolly  (Australia),0
Alastair Cook  (England),3204
Geoffrey Cook  (England),106
Nicholas Cook  (England),0
Stephen Cook  (South Africa),67
Benjamin Cooper  (Netherlands),116
Tom Cooper  (Netherlands),976
Geoffrey Cope  (England),1
Dominic Cork  (England),180
Mark Cosgrove  (Australia),112
Garry Cosier  (Australia),154
Sheldon Cottrell  (West Indies),26
Nathan Coulter-Nile  (Australia),154
Charles Coventry  (Zimbabwe),829
Norman Cowans  (England),13
Christopher Cowdrey  (England),51
Sir Colin Cowdrey  (England),1
Royston Crandon  (West Indies),5
John Crawley  (England),235
Graeme Cremer  (Zimbabwe),744
Gary Crocker  (Zimbabwe),98
Fiqre Crockwell  (Bermuda),68
Colin Croft  (West Indies),18
Robert Croft  (England),345
Hansie Cronje  (South Africa),5565
Derek Crookes  (South Africa),296
Matthew Cross  (Scotland),952
Jeffrey Crowe  (New Zealand),1518
Martin Crowe  (New Zealand),4704
Cameron Cuffy  (West Indies),62
Daniel Cullen  (Australia),2
Daryll Cullinan  (South Africa),3860
Craig Cumming  (New Zealand),161
Anderson Cummins  (West Indies / West Indies),486
Miguel Cummins  (West Indies),10
Patrick Cummins  (Australia),183
Kevin Curran  (Zimbabwe),287
Sam Curran  (England),17
Tom Curran  (England),178
Alex Cusack  (Ireland),745
Ben Cutting  (Australia),53
Keith Dabengwa  (Zimbabwe),514
Damodar Daesrath  (Canada),95
Vijay Dahiya  (India),216
Mahuru Dai  (Papua New Guinea),454
Junior Dala  (South Africa),8
Adam Dale  (Australia),78
Anil Dalpat  (Pakistan),87
James Dalrymple  (England),487
Akila Dananjaya  (Sri Lanka),283
Wayne Daniel  (West Indies),49
Rick Darling  (Australia),363
Shiv Das  (India),39
Deep Dasgupta  (India),51
Pubudu Dassanayake  (Sri Lanka),85
Joshua Davey  (Scotland),471
Noel David  (India),9
Manoj David  (Canada),82
Henry Davids  (South Africa),8
Alec Davies  (Scotland),83
Sean Davies  (Zimbabwe),67
Steven Davies  (England),244
Heath Davis  (New Zealand),13
Ian Davis  (Australia),12
Simon Davis  (Australia),20
Winston Davis  (West Indies),28
John Davison  (Canada),799
Dawlat Ahmadzai  (Afghanistan),0
Dawlat Zadran  (Afghanistan),502
Jawad Dawood  (Canada),25
Alan Dawson  (South Africa),69
Liam Dawson  (England),14
Guy De Alwis  (Sri Lanka),401
Phillip De Freitas  (England),690
Colin de Grandhomme  (New Zealand),443
Richard De Groen  (New Zealand),12
Nicholas De Groot  (Canada),44
Tom de Grooth  (Netherlands),480
Quinton de Kock  (South Africa),4602
Con de Lange  (Scotland),123
Marchant de Lange  (South Africa),0
Bas de Leede  (Netherlands),30
Timotheus de Leede  (Netherlands),400
Ashantha De Mel  (Sri Lanka),466
Indika De Saram  (Sri Lanka),183
Ashley de Silva  (Sri Lanka),12
Stanley de Silva  (Sri Lanka),10
Dhananjaya de Silva  (Sri Lanka),688
Somachandra De Silva  (Sri Lanka),371
Asoka De Silva  (Sri Lanka),138
Granville De Silva  (Sri Lanka),9
Ajit de Silva  (Sri Lanka),9
Sajeewa de Silva  (Sri Lanka),39
Aravinda de Silva  (Sri Lanka),9284
Chaturanga de Silva  (Sri Lanka),94
Wanidu Hasaranga  (Sri Lanka),63
Lanka de Silva  (Sri Lanka),161
A B de Villiers  (South Africa / ACA Africa XI),9577
Fanie De Villiers  (South Africa),170
Mark Dekker  (Zimbabwe),379
Joe Denly  (England),293
Michael Denness  (England),264
Franklym Dennis  (Canada),47
Narsingh Deonarine  (West Indies),682
Jade Dernbach  (England),19
Jignesh Desai  (United States),16
Parth Desai  (Canada),8
Anton Devcich  (New Zealand),195
Sunil Dhaniram  (Canada),906
Rajindra Dhanraj  (West Indies),8
Pankaj Dharmani  (India),8
Kumar Dharmasena  (Sri Lanka),1222
Rishi Dhawan  (India),12
Shikhar Dhawan  (India),5355
Haninder Dhillon  (Canada),14
Dhiman Ghosh  (Bangladesh),126
M S Dhoni  (India / ACC Asian XI),10500
Michael Di Venuto  (Australia),241
Brendon Diamanti  (New Zealand),26
Roy Dias  (Sri Lanka),1573
Niroshan Dickwella  (Sri Lanka),1571
Wilfred Diepeveen  (Netherlands),6
Sameer Dighe  (India),256
Loku Dilhara  (Sri Lanka),83
Graham Dilley  (England),114
Merwyn Dillon  (West Indies),227
Tillakaratne Dilshan  (Sri Lanka),10290
Ashok Dinda  (India),21
Boeta Dippenaar  (South Africa / ACA Africa XI),3421
George Dockrell  (Ireland),579
Anthony Dodemaide  (Australia),124
Xavier Doherty  (Australia),101
Dolar Mahmud  (Bangladesh),61
Basil D'Oliveira  (England),30
Allan Donald  (South Africa),95
Brett Dorey  (Australia),2
Kiplin Doriga  (Papua New Guinea),139
Dilip Doshi  (India),9
Chris Douglas  (Bermuda),122
Mark Douglas  (New Zealand),55
Simon Doull  (New Zealand),172
Travis Dowlin  (West Indies),228
Paul Downton  (England),242
Shane Dowrich  (West Indies),6
Vasbert Drakes  (West Indies),94
Rahul Dravid  (India / ACC Asian XI / ICC World XI),10889
Christopher Drum  (New Zealand),9
Gordon Drummond  (Scotland),240
Faf du Plessis  (South Africa),5120
Ben Duckett  (England),123
Kevin Duers  (Zimbabwe),7
Terry Duffin  (Zimbabwe),546
Jeff Dujon  (West Indies),1945
Shaukat Dukanwala  (United Arab Emirates),84
Jean-Paul Duminy  (South Africa),5047
Chamara Dunusinghe  (Sri Lanka),1
Hasan Durham  (Bermuda),35
Nikhil Dutta  (Canada),0
Gregory Dyer  (Australia),174
Nicholas Dyer  (Scotland),3
Geoffrey Dymock  (Australia),35
John Dyson  (Australia),755
Philip Eaglestone  (Ireland),4
Mark Ealham  (England),716
Dion Ebrahim  (Zimbabwe),1443
Bruce Edgar  (New Zealand),1814
Phillippe Edmonds  (England),116
Jekon Edness  (Bermuda),252
John Edrich  (England),223
Fidel Edwards  (West Indies),73
Graham Edwards  (New Zealand),138
Kirk Edwards  (West Indies),331
Ross Edwards  (Australia),255
Scott Edwards  (Netherlands),27
Walter Edwards  (Australia),2
Ehsan Adil  (Pakistan),27
Ehsan Khan  (Hong Kong),102
Ehsan Nawaz  (Hong Kong),30
Ehsanul Haque  (Bangladesh),57
Clive Eksteen  (South Africa),6
Dean Elgar  (South Africa),104
Elias Sunny  (Bangladesh),2
Grant Elliott  (New Zealand),1976
Matthew Elliott  (Australia),1
Andrew Ellis  (New Zealand),154
Richard Ellison  (England),86
Steven Elworthy  (South Africa),100
John Emburey  (England),501
Philip Emery  (Australia),11
Rayad Emrit  (West Indies),13
Enamul Haque  (Bangladesh),12
Enamul Haque  (Bangladesh),236
Farokh Engineer  (India),114
Shaminda Eranga  (Sri Lanka),34
Gerhard Erasmus  (Namibia),16
Craig Ervine  (Zimbabwe),2315
Sean Ervine  (Zimbabwe),698
Jacob-Jan Esmeijer  (Netherlands),10
Ebrahim Essop-Adam  (Zimbabwe),14
Alasdair Evans  (Scotland),95
Craig Evans  (Zimbabwe),764
Gavin Ewing  (Zimbabwe),97
Fahad Alhashmi  (United Arab Emirates),0
Fahad Nawaz  (United Arab Emirates),2
Fahad Usman  (United Arab Emirates),9
Faheem Ashraf  (Pakistan),162
Fahim Muntasir  (Bangladesh),6
Neil Fairbrother  (England),2092
Faisal Athar  (Pakistan),9
Faisal Hossain  (Bangladesh),43
Faisal Iqbal  (Pakistan),314
Fakhar Zaman  (Pakistan),1642
Fareed Ahmad  (Afghanistan),1
Farhad Reza  (Bangladesh),412
Sami Faridi  (Canada),19
Faruk Ahmed  (Bangladesh),105
James Faulkner  (Australia),1032
Fawad Ahmed  (Australia),4
Fawad Alam  (Pakistan),966
Fayyaz Ahmed  (United Arab Emirates),47
Fayyaz Butt  (Oman),1
Faiz Fazal  (India),55
Fazle Mahmud  (Bangladesh),0
Fazl-E-Akbar  (Pakistan),7
Callum Ferguson  (Australia),663
Lockie Ferguson  (New Zealand),58
Nizel Fernandes  (United Arab Emirates),5
Asitha Fernando  (Sri Lanka),0
Oshada Fernando  (Sri Lanka),127
Dilhara Fernando  (Sri Lanka / ACC Asian XI),239
Ranjit Fernando  (Sri Lanka),47
Ellukutige Fernando  (Sri Lanka),101
Hasantha Fernando  (Sri Lanka),43
Dinusha  (Sri Lanka),0
Vishwa Fernando  (Sri Lanka),30
Charitha Fernando  (Sri Lanka),29
Thewarathantrige Fernando  (Sri Lanka),8
Nisal Fernando  (Sri Lanka),22
Avishka Fernando  (Sri Lanka),145
Aaron Finch  (Australia),4052
Shawn Findlay  (West Indies),146
Steven Finn  (England),136
Ryan Flannigan  (Scotland),0
Damien Fleming  (Australia),152
Matthew Fleming  (England),139
Stephen Fleming  (New Zealand / ICC World XI),8037
Andre Fletcher  (West Indies),354
Duncan Fletcher  (Zimbabwe),191
Keith Fletcher  (England),757
Andrew Flintoff  (England / ICC World XI),3394
Andrew Flower  (Zimbabwe),6786
Grant Flower  (Zimbabwe),6571
Daniel Flynn  (New Zealand),228
Ben Foakes  (England),61
Christopher Foggo  (Bermuda),106
Peter Forrest  (Australia),368
James Foster  (England),41
Maurice Foster  (West Indies),25
Neil Foster  (England),150
Marthinus Fourie  (Ireland),42
Graeme Fowler  (England),744
Pikky Ya France  (Namibia),0
James Franklin  (New Zealand),1270
Trevor Franklin  (New Zealand),27
Paul Franks  (England),4
Frasat Ali  (East Africa),57
Angus Fraser  (England),141
Roy Fredericks  (West Indies),311
Alexander French  (Hong Kong),24
Bruce French  (England),34
Travis Friend  (Zimbabwe),548
Jan Frylinck  (Namibia),16
Peter Fulton  (New Zealand),1334
Richard Gabriel  (West Indies),167
Shannon Gabriel  (West Indies),21
Anshuman Gaekwad  (India),269
Indika Gallage  (Sri Lanka),17
Janak Gamage  (Sri Lanka),8
Lahiru Gamage  (Sri Lanka),4
Gautam Gambhir  (India),5238
Devang Gandhi  (India),49
Akalanka Ganegarma  (Sri Lanka),7
Doddanarasiah Ganesh  (India),4
Darren Ganga  (West Indies),843
Sourav Ganguly  (India / ACC Asian XI),11363
Hamish Gardiner  (Scotland),262
Joel Garner  (West Indies),238
Leon Garrick  (West Indies),99
Trevor Garwe  (Zimbabwe),0
Mike Gatting  (England),2095
Shakti Gauchan  (Nepal),9
Rohan Gavaskar  (India),151
Sunil Gavaskar  (India),3092
Willie Gavera  (Papua New Guinea),4
Chris Gayle  (West Indies / ICC World XI),10151
Gazi Ashraf  (Bangladesh),59
Brett Geeves  (Australia),10
Lee Germon  (New Zealand),519
Rajinder Ghai  (India),1
Karsan Ghavri  (India),114
Gholam Nousher  (Bangladesh),8
Ghulam Ali  (Pakistan),53
Ghulam Shabber  (United Arab Emirates),500
Treadwell Gibbons  (Bermuda),33
Herschelle Gibbs  (South Africa),8094
Lance Gibbs  (West Indies),0
Ottis Gibson  (West Indies),141
Norman Gifford  (England),0
David Gilbert  (Australia),39
Adam Gilchrist  (Australia / ICC World XI),9619
Ashley Giles  (England),385
Jason Gillespie  (Australia),289
Mark Gillespie  (New Zealand),93
Peter Gillespie  (Ireland),2
Stuart Gillespie  (New Zealand),70
Gary Gilmour  (Australia),42
Golam Faruq  (Bangladesh),44
Larry Gomes  (West Indies),1415
Dhiren Gondaria  (Kenya),7
Manpreet Gony  (India),0
Graham Gooch  (England),4290
Murray Goodwin  (Zimbabwe),1818
Yohan Goonasekera  (Sri Lanka),69
Ranjan Goonatillake  (Sri Lanka),0
Hettiarachige Goonatillake  (Sri Lanka),31
Jeremy Gordon  (Canada),7
Tyson Gordon  (Canada),27
Karima Gore  (United States),6
Gordon Goudie  (Scotland),80
Darren Gough  (England / ICC World XI),609
Eric Gouka  (Netherlands),19
Ian Gould  (England),155
David Gower  (England),3170
Shaun Graf  (Australia),24
Victor Grandia  (Netherlands),0
Anthony Gray  (West Indies),51
Evan Gray  (New Zealand),98
Paul Grayson  (England),6
Mark Greatbatch  (New Zealand),2206
Zane Green  (Namibia),38
Alvin Greenidge  (West Indies),23
Gordon Greenidge  (West Indies),5134
Tony Greig  (England),269
Adrian Griffith  (West Indies),99
Trevor Gripper  (Zimbabwe),80
Timothy Gruitjers  (Netherlands),68
Runish Gudhka  (Kenya),17
Gulbadin Naib  (Afghanistan),830
Asela Gunaratne  (Sri Lanka),575
Pulasthi Gunaratne  (Sri Lanka),36
Ruvindu Gunasekera  (Canada),455
Danushka Gunathilaka  (Sri Lanka),1102
Aruna Gunawardene  (Sri Lanka),2
Avishka Gunawardene  (Sri Lanka),1708
Sandeep Gupta  (Kenya),121
Martin Guptill  (New Zealand),6440
Gurdeep Singh  (Kenya),1
Gurkeerat Singh Mann  (India),13
Harry Gurney  (England),15
Gursharan Singh  (India),4
Manjula Guruge  (United Arab Emirates),16
Asanka Gurusinha  (Sri Lanka),3902
Haafiz Shahid  (Pakistan),11
Habibul Bashar  (Bangladesh),2168
Brad Haddin  (Australia),3122
Barry Hadlee  (New Zealand),26
Dayle Hadlee  (New Zealand),40
Sir Richard Hadlee  (New Zealand),1751
Hafizur Rahman  (Bangladesh),8
Ryan Haire  (Ireland),56
Oli Hairs  (Scotland),68
Alexander Hales  (England),2419
Andrew Hall  (South Africa),905
James Hall  (Ireland),28
