name, score
Brian Vitori  (Zimbabwe),86
Graham Vivian  (New Zealand),14
Adam Voges  (Australia),870
Dudley Vonhagt  (Sri Lanka),8
Matthew Wade  (Australia),1777
Ajit Wadekar  (India),73
Kenneth Wadsworth  (New Zealand),258
Wahab Riaz  (Pakistan),589
Wahidul Gani  (Bangladesh),0
Wajahatullah Wasti  (Pakistan),349
Brooke Walker  (New Zealand),47
Matthew Walker  (New Zealand),10
Max Walker  (Australia),79
Craig Wallace  (Scotland),366
Philo Wallace  (West Indies),701
Andrew Waller  (Zimbabwe),818
Malcolm Waller  (Zimbabwe),1259
Kerry Walmsley  (New Zealand),0
Courtney Walsh  (West Indies),321
Hayden Walsh  (United States),27
Doug Walters  (Australia),513
Riaan Walters  (Namibia),0
Chadwick Walton  (West Indies),53
Samuel Walusimbi  (East Africa),38
Waqar Younis  (Pakistan),969
Waqas Barkat  (Hong Kong),102
Waqas Khan  (Hong Kong),67
Iain Wardlaw  (Scotland),21
Bandula Warnapura  (Sri Lanka),180
Malinda Warnapura  (Sri Lanka),35
Khahakachchi Warnaweera  (Sri Lanka),1
Shane Warne  (Australia / ICC World XI),1018
David Warner  (Australia),4343
Washington Sundar  (India),0
Wasim Akram  (Pakistan),3717
Wasim Bari  (Pakistan),221
Wasim Haider  (Pakistan),26
Wasim Raja  (Pakistan),782
Atul Wassan  (India),33
Seren Waters  (Kenya),419
Steven Watkin  (England),4
Michael Watkinson  (England),0
B J Watling  (New Zealand),573
Graeme Watson  (Australia),11
Ryan Watson  (Scotland),956
Shane Watson  (Australia),5757
Willie Watson  (New Zealand),86
Mark Watt  (Scotland),138
Fraser Watts  (Scotland),974
Mark Waugh  (Australia),8500
Steve Waugh  (Australia),7569
Peter Webb  (New Zealand),38
Richard Webb  (New Zealand),6
Ajith Weerakkody  (Sri Lanka),2
Sandun Weerakkody  (Sri Lanka),73
Sajeewa Weerakoon  (Sri Lanka),0
Kaushalya Weeraratne  (Sri Lanka),160
Chanaka Welegedara  (Sri Lanka),4
Dirk Wellham  (Australia),379
Alan Wells  (England),15
Colin Wells  (England),22
Vincent Wells  (England),141
Steven Welsh  (Canada),42
Dominic Wesonga  (Kenya),61
Kepler Wessels  (South Africa / Australia),3367
Regan West  (Ireland),61
Berend Westdijk  (Netherlands),1
Mithra Wettimuny  (Sri Lanka),2
Sidath Wettimuny  (Sri Lanka),786
Sunil Wettimuny  (Sri Lanka),136
Alexander Wharf  (England),19
Karl Whatham  (Canada),18
Davenell Whatmore  (Australia),2
Brad Wheal  (Scotland),16
Ben Wheeler  (New Zealand),58
Roger Whelan  (Ireland),5
John Whitaker  (England),48
Andrew White  (Ireland),776
Craig White  (England),568
Cameron White  (Australia),2072
David White  (New Zealand),37
Michael Whitney  (Australia),40
Andrew Whittall  (Zimbabwe),168
Guy Whittall  (Zimbabwe),2705
Stuart Whittingham  (Scotland),6
Hemantha Wickramaratne  (Sri Lanka),4
Pramodya Wickremasinghe  (Sri Lanka),344
Gamini Wickremasinghe  (Sri Lanka),2
Julien Wiener  (Australia),140
David Wiese  (South Africa),102
Kapila Wijegunawardene  (Sri Lanka),20
Roger Wijesuriya  (Sri Lanka),18
David Willey  (England),279
Peter Willey  (England),538
Brad Williams  (Australia),27
Craig Williams  (Namibia),8
David Williams  (West Indies),147
Henry Williams  (South Africa),8
Kesrick Williams  (West Indies),19
Laurie Williams  (West Indies),124
Stuart Williams  (West Indies),1586
Sean Williams  (Zimbabwe),3546
Greig Williamson  (Scotland),11
Kane Williamson  (New Zealand),5554
Bob Willis  (England),83
Charl Willoughby  (South Africa),0
Gary Wilson  (Ireland),2072
Jeffrey Wilson  (New Zealand),103
Paul Wilson  (Australia),4
Paul Wiseman  (New Zealand),45
Craig Wishart  (Zimbabwe),1719
Warren Wisneski  (New Zealand),10
Chris Woakes  (England),1052
Barry Wood  (England),314
Graeme Wood  (Australia),2219
Mark Wood  (England),45
Ashley Woodcock  (Australia),53
Luke Woodcock  (New Zealand),14
Roger Woolley  (Australia),31
Robert Woolmer  (England),21
George Worker  (New Zealand),272
Daniel Worrall  (Australia),6
Craig Wright  (Scotland),240
John Wright  (New Zealand),3891
Kevin Wright  (Australia),29
Luke Wright  (England),707
Mandy Yachad  (South Africa),31
Jayant Yadav  (India),1
Jai Yadav  (India),81
Nandlal Yadav  (India),1
Umesh Yadav  (India),79
Vijay Yadav  (India),118
Graham Yallop  (Australia),823
Yamin Ahmadzai  (Afghanistan),3
Bruce Yardley  (Australia),58
Michael Yardy  (England),326
Yashpal Sharma  (India),883
Yasir Arafat  (Pakistan),74
Yasir Hameed  (Pakistan),2028
Yasir Shah  (Pakistan),127
Yograj Singh  (India),1
Tinu Yohannan  (India),7
Bryan Young  (New Zealand),1668
Bradley Young  (Australia),31
Craig Young  (Ireland),20
Younis Ahmed  (Pakistan),84
Younis Khan  (Pakistan),7249
Yunus Badat  (East Africa),1
Yuvraj Singh  (India / ACC Asian XI),8701
Zafar Gohar  (Pakistan),15
Zafar Iqbal  (Pakistan),48
Zaheer Abbas  (Pakistan),2572
Zaheer Maqsood  (United Arab Emirates),13
Zahid Ahmed  (Pakistan),3
Zahid Fazal  (Pakistan),348
Zahid Hussain  (Canada),9
Zahid Razzak  (Bangladesh),14
Zahid Shah  (United Arab Emirates),11
Zahir Khan  (Afghanistan),0
Zahoor Elahi  (Pakistan),297
Zahoor Khan  (United Arab Emirates),48
Zain Abbas  (Hong Kong),26
Zakir Hasan  (Bangladesh),0
Zakir Hossain  (Bangladesh),0
Zakir Khan  (Pakistan),27
Zakiullah Zaki  (Afghanistan),3
Zameer Zahir  (Canada),3
Adam Zampa  (Australia),99
Zeeshan Maqsood  (Oman),12
Zeeshan Siddiqi  (Canada),50
Andris Zesers  (Australia),10
Cephas Zhuwawo  (Zimbabwe),154
Ziaur Rahman  (Bangladesh),124
Timothy Zoehrer  (Australia),130
Monde Zondeki  (South Africa / ACA Africa XI),4
Khayelihle Zondo  (South Africa),142
Nuwan Zoysa  (Sri Lanka),343
Bas Zuiderent  (Netherlands),1098
Zulfiqar Ali  (East Africa),39
Zulfiqar Babar  (Pakistan),35
Zulqarnain Haider  (Pakistan),48
Zulquarnain  (Pakistan),18
